Sample rate: 2.0000 Hz


 Profile 2

   MM-DD-YYYY HH:MM:SS     HDNG       TX       TY        HX        HY        HZ      VPAB      VPCD      VPEF      VPGH
   06-11-2018 00:58:12   327.12     0.78     2.76    0.2185   -0.1958   -0.9560      5.46      9.09      6.66    -15.80
   06-11-2018 00:58:37   327.99     0.78     2.92    0.2158   -0.1920   -0.9574      4.89      9.49      6.32    -14.90
   06-11-2018 00:59:02   322.32     0.78     2.27    0.2051   -0.2065   -0.9567      3.21      9.76      7.57    -14.39
   06-11-2018 00:59:27   328.23     0.78     2.92    0.2187   -0.1924   -0.9566      1.49      9.56      8.56    -11.10
   06-11-2018 00:59:52   326.34     0.78     2.27    0.2192   -0.1926   -0.9565      3.77      9.99      7.18    -13.29
   06-11-2018 01:00:17   330.91     0.13     2.92    0.2293   -0.1778   -0.9570      4.53     10.21      5.61    -12.36
   06-11-2018 01:00:42   330.73     0.45     3.24    0.2228   -0.1836   -0.9574      3.90     10.13      6.67    -11.84
   06-11-2018 01:01:07   328.09     0.78     2.76    0.2170   -0.1895   -0.9576      1.73      9.93      9.10    -11.80
   06-11-2018 01:01:32   333.83     0.29     3.57    0.2310   -0.1758   -0.9569      5.75     10.45      4.71    -17.24
   06-11-2018 01:01:57   327.07     0.78     3.24    0.2104   -0.1991   -0.9571      6.43      9.79      3.98    -14.52
   06-11-2018 01:02:22   325.24     0.78     2.27    0.2124   -0.1945   -0.9576      3.13      9.54      8.13    -13.23
   06-11-2018 01:02:47   320.59     1.10     1.95    0.2012   -0.2130   -0.9561      4.13     10.65      5.01    -12.86
   06-11-2018 01:03:12   323.93     0.78     2.27    0.2099   -0.2004   -0.9570      5.17      9.83      4.59    -13.92
   06-11-2018 01:03:37   323.75     0.78     2.92    0.2027   -0.2072   -0.9571      8.06      9.87      2.50    -17.89
   06-11-2018 01:04:02   322.36     0.94     2.92    0.2003   -0.2155   -0.9558      6.93      9.97      3.52    -15.09
   06-11-2018 01:04:27   319.20     1.10     2.27    0.1926   -0.2202   -0.9563      3.39      9.54      7.60    -12.13
   06-11-2018 01:04:52   320.16     0.78     2.60    0.1932   -0.2156   -0.9572      8.01      9.58      2.70    -15.33
   06-11-2018 01:05:17   321.58     0.94     2.92    0.1966   -0.2173   -0.9561      2.98      9.48      7.66    -12.13
   06-11-2018 01:05:42   321.61     0.94     2.27    0.2012   -0.2098   -0.9568      6.08      9.27      5.66    -12.89
   06-11-2018 01:06:07   323.09     1.10     2.60    0.2023   -0.2092   -0.9567      6.61      9.42      4.02    -14.62
   06-11-2018 01:06:32   324.58     0.78     2.92    0.2071   -0.2055   -0.9565      5.60      9.34      5.41    -14.95
   06-11-2018 01:06:57   324.82     0.78     2.60    0.2142   -0.2036   -0.9553      4.43      9.42      6.79    -12.41
   06-11-2018 01:07:22   325.54     0.78     2.92    0.2115   -0.2030   -0.9561      4.51      8.95      6.84    -15.26
   06-11-2018 01:07:47   328.33     0.78     3.24    0.2156   -0.1954   -0.9567      4.70      9.79      6.19    -12.47
   06-11-2018 01:08:12   329.66     0.78     3.24    0.2166   -0.1889   -0.9578      4.98      9.18      6.35    -12.41
   06-11-2018 01:08:37   320.44     0.78     2.11    0.1969   -0.2087   -0.9580      6.00      8.98      5.73    -13.99
   06-11-2018 01:09:02   326.39     0.78     2.27    0.2203   -0.1931   -0.9561      2.82      8.89      8.99    -14.36
   06-11-2018 01:09:27   322.98     0.78     2.43    0.2087   -0.2079   -0.9556      5.24      9.11      5.91    -13.56
   06-11-2018 01:09:52   325.33     1.10     2.76    0.2116   -0.2053   -0.9556      4.63      8.95      7.03    -13.99
   06-11-2018 01:10:17   323.44     0.78     1.95    0.2128   -0.2000   -0.9564      5.10      9.00      5.66    -14.73
   06-11-2018 01:10:42   325.33     0.78     2.43    0.2129   -0.1970   -0.9570      5.26      9.26      5.29    -12.74
   06-11-2018 01:11:07   331.95     0.45     3.24    0.2280   -0.1799   -0.9569      6.72      9.18      6.11    -15.97
   06-11-2018 01:11:32   329.77     0.62     2.60    0.2262   -0.1813   -0.9571      4.24      8.84      7.19    -11.97
   06-11-2018 01:11:57   328.71     0.78     2.43    0.2219   -0.1836   -0.9576      5.05      9.32      6.82    -10.71
   06-11-2018 01:12:22   326.04     0.78     2.60    0.2176   -0.1987   -0.9556      5.01      9.44      6.32    -13.65
   06-11-2018 01:12:47   328.78     0.78     3.17    0.2218   -0.1953   -0.9553      5.62      9.33      6.37    -14.22
   06-11-2018 01:13:12   329.96     0.45     2.76    0.2270   -0.1819   -0.9568      5.74      9.33      6.38    -11.68
   06-11-2018 01:13:37   332.25     0.45     3.24    0.2305   -0.1797   -0.9563      7.20      8.95      5.69    -13.53
   06-11-2018 01:14:02   336.99     0.29     3.24    0.2433   -0.1598   -0.9567      7.95      9.18      5.35    -12.00
   06-11-2018 01:14:27   334.48     0.13     2.60    0.2380   -0.1582   -0.9583      6.74      9.12      5.96    -14.22
   06-11-2018 01:14:52   331.48     0.45     2.27    0.2339   -0.1693   -0.9574      6.17      9.47      5.78    -12.05
   06-11-2018 01:15:17   336.96     0.45     3.24    0.2407   -0.1600   -0.9573      4.49      9.49      7.47    -12.98
   06-11-2018 01:15:42   331.76     0.78     2.92    0.2290   -0.1789   -0.9568      6.18      9.84      5.40    -10.80
   06-11-2018 01:16:07   331.25     0.78     2.92    0.2266   -0.1804   -0.9571      3.15     10.29      8.10    -12.12
   06-11-2018 01:16:32   333.88     0.45     3.24    0.2306   -0.1712   -0.9579      6.29     10.31      5.61     -9.58
   06-11-2018 01:16:57   333.30     0.45     2.92    0.2299   -0.1685   -0.9585      7.56      9.92      4.24    -11.08
   06-11-2018 01:17:22   333.26     0.45     2.92    0.2336   -0.1705   -0.9573      4.63     10.63      6.57    -11.71
   06-11-2018 01:17:47   333.59     0.45     2.92    0.2330   -0.1685   -0.9578      6.39     10.52      4.97    -11.79
   06-11-2018 01:18:12   332.57     0.45     2.92    0.2360   -0.1753   -0.9558      3.72     11.16      6.77     -9.29
   06-11-2018 01:18:37   335.34     0.45     2.92    0.2419   -0.1634   -0.9565      3.14     10.23      7.93    -11.09
   06-11-2018 01:19:02   330.10     0.62     2.60    0.2259   -0.1793   -0.9575      6.49     10.53      4.76    -10.53
   06-11-2018 01:19:27   334.80     0.45     3.24    0.2337   -0.1680   -0.9577      7.30     10.60      5.02    -13.15
   06-11-2018 01:19:52   334.44     0.45     2.92    0.2344   -0.1648   -0.9581      5.19     10.63      5.38    -11.86
   06-11-2018 01:20:17   334.76     0.62     3.89    0.2264   -0.1770   -0.9578      6.74     10.95      5.64    -14.22
   06-11-2018 01:20:42   327.61     0.78     2.76    0.2151   -0.1910   -0.9577      5.83     10.84      5.18     -9.81
   06-11-2018 01:21:07   326.30     0.78     2.27    0.2173   -0.1916   -0.9571      6.34     10.68      4.94     -9.85
   06-11-2018 01:21:32   331.55     0.78     3.57    0.2227   -0.1876   -0.9567      4.92     11.02      6.90    -12.18
