
 Profile 1

 Sensors were turned on at  10/17/2015 03:00:02
 Vehicle began profiling at 10/17/2015 03:02:01

Date,[mA],[V],[dbar],Par[mV],scatSig,chlSig,CDOMSig
10/17/2015 03:20:30,1,11.2,183.480,0.00,102,52,70
10/17/2015 03:20:35,317,11.0,182.020,0.00,99,53,72
10/17/2015 03:20:40,2,11.2,180.600,0.00,108,52,71
10/17/2015 03:20:45,36,11.1,179.210,0.00,99,51,72
10/17/2015 03:20:50,166,11.2,177.750,0.00,98,52,68
10/17/2015 03:20:55,31,11.1,176.280,0.00,116,51,71
10/17/2015 03:21:00,80,11.2,174.860,0.00,100,53,69
10/17/2015 03:21:05,101,11.2,173.510,0.00,103,51,70
10/17/2015 03:21:10,131,11.1,172.030,0.00,96,53,72
10/17/2015 03:21:15,134,11.2,170.610,0.00,99,52,69
10/17/2015 03:21:20,206,11.1,169.210,0.00,99,54,71
10/17/2015 03:21:25,358,11.0,167.830,0.00,105,53,70
10/17/2015 03:21:30,0,11.2,166.330,0.00,104,53,71
10/17/2015 03:21:35,384,11.0,164.940,0.00,108,52,71
10/17/2015 03:21:40,1,11.2,163.520,0.00,100,52,71
10/17/2015 03:21:45,291,11.1,162.120,0.00,99,53,71
10/17/2015 03:21:50,80,11.2,160.730,0.00,104,53,68
10/17/2015 03:21:55,237,11.1,159.350,0.00,106,53,71
10/17/2015 03:22:00,335,11.1,157.950,0.00,108,50,69
10/17/2015 03:22:05,84,11.1,156.590,0.00,109,53,69
10/17/2015 03:22:10,267,11.1,155.160,0.00,103,52,68
10/17/2015 03:22:15,225,11.1,153.800,0.00,106,54,72
10/17/2015 03:22:20,139,11.2,152.460,0.00,110,53,71
10/17/2015 03:22:25,125,11.1,150.990,0.00,107,51,69
10/17/2015 03:22:30,269,11.1,149.610,0.00,112,53,70
10/17/2015 03:22:35,206,11.1,148.220,0.00,112,54,70
10/17/2015 03:22:40,295,11.1,146.870,0.00,115,53,70
10/17/2015 03:22:45,33,11.2,145.450,0.00,110,51,69
10/17/2015 03:22:50,265,11.0,144.080,0.00,111,54,71
10/17/2015 03:22:55,255,11.1,142.690,0.00,108,53,70
10/17/2015 03:23:00,118,11.1,141.290,0.00,104,53,70
10/17/2015 03:23:05,41,11.2,139.860,0.00,113,51,72
10/17/2015 03:23:10,234,11.0,138.440,0.00,121,54,70
10/17/2015 03:23:15,44,11.2,137.070,0.00,119,54,67
10/17/2015 03:23:20,249,11.0,135.650,0.00,114,53,70
10/17/2015 03:23:25,63,11.1,134.280,0.00,123,53,70
10/17/2015 03:23:30,394,11.1,132.890,0.00,126,53,70
10/17/2015 03:23:35,1,11.2,131.460,0.00,120,53,69
