

 Profile 2

MM-DD-YYYY HH:MM:SS,TmpC,Heading,Pitch,Roll,Beams,Beam1,Beam2,Beam3,Beam4,Vel1,Vel2,Vel3,Amp1,Amp2,Amp3
10-17-2015 03:38:02,12.4100,305.5000,0.4000,-1.5000,3,2,3,4,0,-0.24880,-0.05380,-0.16010,113,109,121
10-17-2015 03:38:03,12.4000,299.3000,0.4000,1.5000,3,2,3,4,0,-0.25940,-0.09400,-0.19250,110,113,119
10-17-2015 03:38:03,12.4000,299.3000,0.4000,1.5000,3,2,3,4,0,-0.24590,-0.12930,-0.21920,106,112,122
10-17-2015 03:38:04,12.4000,277.8000,0.5000,0.2000,3,2,3,4,0,-0.19470,-0.13710,-0.23880,125,112,117
10-17-2015 03:38:04,12.4000,277.8000,0.5000,0.2000,3,2,3,4,0,-0.22270,-0.13350,-0.26560,117,115,122
10-17-2015 03:38:05,12.4000,273.3000,0.7000,0.0000,3,2,3,4,0,-0.23460,-0.11380,-0.24640,106,113,120
10-17-2015 03:38:05,12.4000,273.3000,0.7000,0.0000,3,2,3,4,0,-0.16000,-0.09340,-0.22810,128,117,110
10-17-2015 03:38:06,12.4100,275.2000,0.2000,-0.8000,3,2,3,4,0,-0.11900,-0.09590,-0.21650,112,116,141
10-17-2015 03:38:06,12.4100,275.2000,0.2000,-0.8000,3,2,3,4,0,-0.11130,-0.05760,-0.19360,120,109,108
10-17-2015 03:38:07,12.4100,290.5000,0.8000,0.2000,3,2,3,4,0,-0.13810,-0.08960,-0.20220,109,116,121
10-17-2015 03:38:07,12.4100,290.5000,0.8000,0.2000,3,2,3,4,0,-0.16500,-0.11520,-0.21290,116,111,127
10-17-2015 03:38:08,12.4100,302.9000,0.9000,0.4000,3,2,3,4,0,-0.16050,-0.07610,-0.19980,103,143,120
10-17-2015 03:38:08,12.4100,302.9000,0.9000,0.4000,3,2,3,4,0,-0.23570,-0.11630,-0.17230,126,115,124
10-17-2015 03:38:09,12.4000,315.0000,0.9000,0.1000,3,2,3,4,0,-0.24380,-0.08900,-0.18910,118,133,118
10-17-2015 03:38:09,12.4000,315.0000,0.9000,0.1000,3,2,3,4,0,-0.18110,-0.08010,-0.21870,120,119,118
10-17-2015 03:38:10,12.4000,327.5000,0.2000,3.1000,3,2,3,4,0,-0.24950,-0.09570,-0.09670,116,122,103
