

 Profile 2

MM-DD-YYYY HH:MM:SS,Sndm/s,TmpC,Heading,Pitch,Roll,magnHx,magnHy,magnHz,Beams,Cells,Beam1,Beam2,Beam3,Beam4,Beam5,Vel1,Vel2,Vel3,Amp1,Amp2,Amp3,Corr1,Corr2,Corr3
10-17-2015 03:37:34.375,1500.0000,12.3200,326.9000,0.4000,1.8000,16513,-607,293,3,1,2,3,4,0,0,-0.20870,-0.09700,-0.12610,116,113,112,090,095,094
10-17-2015 03:37:34.875,1500.0000,12.3200,326.9000,0.4000,1.8000,16513,-607,293,3,1,2,3,4,0,0,-0.22750,-0.08450,-0.12150,118,113,111,099,095,093
10-17-2015 03:37:35.375,1500.0000,12.3300,317.7000,0.2000,2.3000,16607,-755,235,3,1,2,3,4,0,0,-0.23470,-0.07710,-0.09690,117,114,108,093,090,080
10-17-2015 03:37:35.875,1500.0000,12.3300,317.7000,0.2000,2.3000,16607,-755,235,3,1,2,3,4,0,0,-0.26030,-0.07120,-0.11790,132,111,142,097,084,100
10-17-2015 03:37:36.375,1500.0000,12.3300,289.0000,1.1000,-1.4000,16509,343,487,3,1,2,3,4,0,0,-0.16980,-0.13890,-0.20480,113,113,109,093,088,086
10-17-2015 03:37:36.875,1500.0000,12.3300,289.0000,1.1000,-1.4000,16509,343,487,3,1,2,3,4,0,0,-0.26520,-0.15890,-0.26970,124,117,115,098,088,094
10-17-2015 03:37:37.375,1500.0000,12.3200,280.7000,0.5000,-0.7000,16471,135,327,3,1,2,3,4,0,0,-0.23580,-0.20340,-0.26750,139,118,113,099,089,083
10-17-2015 03:37:37.875,1500.0000,12.3200,280.7000,0.5000,-0.7000,16471,135,327,3,1,2,3,4,0,0,-0.19080,-0.16930,-0.22980,130,114,110,100,085,093
10-17-2015 03:37:38.375,1500.0000,12.3300,274.8000,0.0000,-1.6000,16469,386,187,3,1,2,3,4,0,0,-0.11650,-0.08070,-0.19650,123,108,110,099,089,097
10-17-2015 03:37:38.875,1500.0000,12.3300,274.8000,0.0000,-1.6000,16469,386,187,3,1,2,3,4,0,0,-0.08350,-0.07320,-0.17270,120,117,107,099,089,092
10-17-2015 03:37:39.375,1500.0000,12.3400,286.2000,1.6000,0.3000,16591,-163,641,3,1,2,3,4,0,0,-0.10140,-0.05680,-0.18530,107,110,116,087,088,085
10-17-2015 03:37:39.875,1500.0000,12.3400,286.2000,1.6000,0.3000,16591,-163,641,3,1,2,3,4,0,0,-0.10610,-0.03650,-0.18390,132,116,110,099,088,094
10-17-2015 03:37:40.375,1500.0000,12.3300,299.8000,1.6000,1.3000,16411,-464,639,3,1,2,3,4,0,0,-0.14930,-0.06230,-0.17520,110,121,132,087,097,087
10-17-2015 03:37:40.875,1500.0000,12.3300,299.8000,1.6000,1.3000,16411,-464,639,3,1,2,3,4,0,0,-0.13260,-0.09530,-0.18580,114,119,119,095,097,080
10-17-2015 03:37:41.375,1500.0000,12.3300,308.5000,0.4000,0.2000,16531,-130,302,3,1,2,3,4,0,0,-0.17710,-0.09180,-0.18720,122,124,128,086,099,099
10-17-2015 03:37:41.875,1500.0000,12.3300,308.5000,0.4000,0.2000,16531,-130,302,3,1,2,3,4,0,0,-0.20530,-0.10910,-0.17820,114,108,122,095,091,094
